y_test,predicted_prob_rf,predicted_prob_xgboost
0,0.097112944,0.141330212
0,0.085234514,0.112826452
0,0.160680895,0.10439007
0,0.027900517,0.043381002
0,0.192918564,0.153946772
0,0.075937086,0.081356853
0,0.213514796,0.153152466
0,0.031614587,0.074463919
0,0.101661672,0.097427987
0,0.165890349,0.171039671
0,0.276524974,0.356595904
0,0.111418108,0.106900893
0,0.024525652,0.052504927
0,0.147757435,0.092556752
0,0.07399236,0.097968593
0,0.141822884,0.134952933
0,0.236773394,0.319414049
0,0.380028353,0.355062485
0,0.017664213,0.024530862
0,0.589302613,0.859553933
0,0.183119388,0.231853142
0,0.074358997,0.072920866
0,0.026136732,0.038024981
1,0.010407325,0.019256067
0,0.077855938,0.130585074
1,0.271289751,0.187446252
1,0.290685736,0.210821301
0,0.258372137,0.274736524
0,0.47870734,0.608986259
0,0.524832672,0.577606797
0,0.233953629,0.110751741
1,0.257996776,0.195471197
0,0.119557938,0.065144271
1,0.30012133,0.267927229
1,0.251639866,0.24600023
1,0.350729643,0.330156595
0,0.201926228,0.238960534
0,0.235412357,0.143120795
0,0.152826584,0.131530777
1,0.068370987,0.076708116
1,0.267079859,0.212091476
1,0.576746723,0.41863668
0,0.165129197,0.149595469
0,0.074498063,0.051188819
0,0.034353542,0.05554805
0,0.098102783,0.06896925
0,0.176918718,0.217151016
1,0.601337682,0.656414688
1,0.366577608,0.381010234
0,0.138375014,0.172741458
0,0.277722719,0.218723506
1,0.156670647,0.147509381
0,0.083195126,0.057441831
0,0.037974039,0.08068601
0,0.186461949,0.127543792
0,0.051487936,0.062944137
0,0.142322463,0.143364519
0,0.156623996,0.204082638
0,0.014517002,0.039532796
0,0.027937934,0.050589785
0,0.039905227,0.043874223
0,0.032024851,0.037582066
0,0.148804058,0.102202609
0,0.096455595,0.098483697
0,0.214949102,0.208751187
0,0.119710107,0.126176119
0,0.265341941,0.142480567
0,0.391502973,0.455221027
0,0.108343238,0.124164954
1,0.179920646,0.191170484
0,0.252387267,0.225554451
1,0.299619025,0.194735959
0,0.274132543,0.306946069
